title,rating,body,author,date,processed_body
Cafetera,"4,0 de 5 estrellas","Bueno es compacta y funciona bien.
Lo único parece que el café sale más despacio que con mi otra máquina",Roberto,Revisado en España el 2 de mayo de 2018,"['bueno', 'compacta', 'funciona', 'único', 'parece', 'sale', 'despacio']"
Núria V.,"5,0 de 5 estrellas","Buena cafetera, el mejor café que nespresso. Sale el café bien caliente, y buen diseño para poner el agua al depósito de la cafetera.",Cliente Amazon,Revisado en España el 13 de enero de 2018,"['buena', 'mejor', 'nespresso', 'sale', 'caliente', 'buen', 'diseño', 'poner', 'depósito']"
cafetera perfecta,"4,0 de 5 estrellas","la cafetera esta va muy bien lo unico que lo de las capsulas de cafe es muy pequeña con 4 o 5 capsulas ya se llena el cajon
pero eso es lo menos importante ya que hace un cafe buenisimo",Amazon Cliente,Revisado en España el 26 de octubre de 2017,"['va', 'unico', 'capsulas', 'pequeña', 'capsulas', 'llena', 'cajon', 'menos', 'importante', 'buenisimo']"
Laura,"2,0 de 5 estrellas","Parece de juguete. Es demasiado pequeña y no tiene demasiada fuerza. Éste es el problema real de comprar por Internet, nunca sabes al 100% la tela, el tamaño o la calidad del producto que estás comprando.",Cliente Amazon,Revisado en España el 19 de julio de 2017,"['parece', 'juguete', 'demasiado', 'pequeña', 'demasiada', 'fuerza', 'éste', 'problema', 'real', 'comprar', 'internet', 'nunca', 'sabes', 'tela', 'tamaño', 'calidad', 'producto', 'comprando']"
Cafetera basica para quien no se quiere liar con botones,"5,0 de 5 estrellas","Esta cafetera esta genial para los que no quieren una cafetera complicada.
Tiene un botón y ya esta. Tu decides cuanto cafe quieres encendiendo y parando a tu gusto.
Nada de programar la cantidad de agua y más bobadas.
Se enciende y se apaga con el mismo botón.
El deposito de agua es redonda y se puede limpiar con facilidad, no como otros de formas exoticas en que ni siquiera puedes meter un cepillo.
El cafe de lavazza esta muy por encima del cafe de nescafe, incluso las capsulas compatibles saben mejor y la cafetera funciona igual de bien.
Compré la cafetera en Amazon Warehouse, supuestamente de segunda mano, pero en realidad era nueva y sin estrenar, solo tenia una parte lateral un poco rayada, apenas se notaba, pero el precio obviamente a casi la mitad. Vale mucho la pena. Recomendable 100%",MirandaM,Revisado en España el 28 de junio de 2021,"['genial', 'quieren', 'complicada', 'botón', 'decides', 'cuanto', 'quieres', 'encendiendo', 'parando', 'gusto', 'programar', 'cantidad', 'bobadas', 'enciende', 'apaga', 'mismo', 'botón', 'deposito', 'redonda', 'puede', 'limpiar', 'facilidad', 'formas', 'exoticas', 'siquiera', 'puedes', 'meter', 'cepillo', 'lavazza', 'encima', 'nescafe', 'incluso', 'capsulas', 'compatibles', 'saben', 'mejor', 'funciona', 'igual', 'compré', 'warehouse', 'supuestamente', 'segunda', 'mano', 'realidad', 'nueva', 'estrenar', 'solo', 'tenia', 'parte', 'lateral', 'rayada', 'apenas', 'notaba', 'precio', 'obviamente', 'casi', 'mitad', 'vale', 'pena', 'recomendable']"
Diseño,"5,0 de 5 estrellas","De momento, y habiendo hecho 2 cafés solamente, es un pepinazo de cafetera. Pequeña con un diseño top. El azul es clarito, no tan fuerte como en la primera imagen. Hay que prestar atención la primera vez que se enchufa, seguir las instrucciones porque a mi no me salía agua al principio, dejé la ventana de la capsula abierta y cuando vi que empezaba a tirar agua la cerré, limpio el circuito y a funcionar.",JInete Carrete,Revisado en España el 16 de abril de 2021,"['momento', 'hecho', 'cafés', 'solamente', 'pepinazo', 'pequeña', 'diseño', 'top', 'azul', 'clarito', 'tan', 'fuerte', 'primera', 'imagen', 'prestar', 'atención', 'primera', 'vez', 'enchufa', 'seguir', 'instrucciones', 'salía', 'principio', 'dejé', 'ventana', 'capsula', 'abierta', 'vi', 'empezaba', 'tirar', 'cerré', 'limpio', 'circuito', 'funcionar']"
Buen funcionamiento,"4,0 de 5 estrellas",Fácil de utilizar y limpiar. Tamaño ideal,Yolanda,Revisado en España el 12 de marzo de 2024,"['fácil', 'utilizar', 'limpiar', 'tamaño', 'ideal']"
LA PRIMERA VEZ LLENAR DEPÓSITO HASTA ARRIBA!!,"5,0 de 5 estrellas","Hola buenas, acabo de recibirlo y he tenido problemas al iniciar la cafetera por primera vez, AVISO!!!, LLENAR EL DEPÓSITO DE AGUA, he tardado un rato en ponerla en marcha, parecía que no cogía el agua y el error mío ha sido que tenía el depósito por la mitad, en cuanto lo he llenado hasta arriba se ha puesto ha funcionar, el producto es re acondicionado pero por el momento funcionamiento correcto",David,Revisado en España el 22 de abril de 2021,"['hola', 'buenas', 'acabo', 'recibirlo', 'problemas', 'iniciar', 'primera', 'vez', 'aviso', 'llenar', 'depósito', 'tardado', 'rato', 'ponerla', 'marcha', 'parecía', 'cogía', 'error', 'sido', 'depósito', 'mitad', 'cuanto', 'llenado', 'arriba', 'puesto', 'funcionar', 'producto', 're', 'acondicionado', 'momento', 'funcionamiento', 'correcto']"
Producto en perfectas condiciones,"5,0 de 5 estrellas","He Comprado esta cafetera por Amazon Warehouse, es decir, la he comprado de segunda mano. Está nueva, por estrenar. Por descontado, funciona bien, y además ya conozco la calidad y el funcionamiento de la máquina. Estoy muy satisfecha con la compra, la descripcion del producto ha sido exacta a lo que ha llegado. Muchas gracias.",Sechs,Revisado en España el 2 de septiembre de 2020,"['comprado', 'warehouse', 'decir', 'comprado', 'segunda', 'mano', 'nueva', 'estrenar', 'descontado', 'funciona', 'además', 'conozco', 'calidad', 'funcionamiento', 'satisfecha', 'compra', 'descripcion', 'producto', 'sido', 'exacta', 'llegado', 'muchas', 'gracias']"
Sencilla de usar,"4,0 de 5 estrellas","Las cápsulas son un poco caras y no son fácil de adquirir en los supermercados.
Solo online pero el sabor de Lavazza a modo mio es buen café.",Rocío,Revisado en España el 9 de mayo de 2021,"['cápsulas', 'caras', 'fácil', 'adquirir', 'supermercados', 'solo', 'online', 'sabor', 'lavazza', 'modo', 'mio', 'buen']"
Perfecta por ese precio.,"4,0 de 5 estrellas","La máquina va perfecta, no le doy las 5 estrellas por el tipo de cápsulas que usa.",Gabriel Lázaro,Revisado en España el 29 de abril de 2021,"['va', 'perfecta', 'doy', 'estrellas', 'tipo', 'cápsulas', 'usa']"
No funciona,"1,0 de 5 estrellas","La máquina ha llegado y parecía nueva, pero no funciona, no sale agua. He comprado este articulo desde el Amazon Warehouse, pero deberían revisarlo antes de vender algo que no funciona. Muy decepcionado porque me dado cuenta de que otras personas han tenido el mismo problema y no deberías tenerlas a la venta.",Salvatore Emma,Revisado en España el 27 de febrero de 2023,"['llegado', 'parecía', 'nueva', 'funciona', 'sale', 'comprado', 'articulo', 'warehouse', 'deberían', 'revisarlo', 'vender', 'funciona', 'decepcionado', 'dado', 'cuenta', 'persona', 'mismo', 'problema', 'deberías', 'tenerlas', 'venta']"
Me encanta es muy bonita ..,"5,0 de 5 estrellas",No me gusta que no es automática para que el café pare .,Pamela Castillo,Revisado en España el 10 de septiembre de 2021,"['gusta', 'automática', 'pare']"
No funciona,"1,0 de 5 estrellas","La cafetera no funciona. Anteriormente tenía una igual e iba de maravilla, pero esta no funciona, porque no sale el agua del depósito y la máquina vibra muy fuerte. La reemplacé por otra idéntica y tiene el mismo problema, un desastre. La fecha de fabricación que pone en la caja es del 2017, no sé si tendrá algo que ver, y las cápsulas sumistradas están caducadas desde hace casi un año.

Me encanta este café y este modelo de cafetera, pero en este caso la compra ha sido un desastre. Pendiente aún del reembolso de Amazon.",Cliente Amazon,Revisado en España el 12 de marzo de 2021,"['funciona', 'anteriormente', 'igual', 'iba', 'maravilla', 'funciona', 'sale', 'depósito', 'vibra', 'fuerte', 'reemplacé', 'idéntica', 'mismo', 'problema', 'desastre', 'fecha', 'fabricación', 'pone', 'caja', 'sé', 'ver', 'cápsulas', 'sumistradas', 'caducadas', 'casi', 'año', 'encanta', 'modelo', 'caso', 'compra', 'sido', 'desastre', 'pendiente', 'aún', 'reembolso']"
Calidad a bajo precio,"5,0 de 5 estrellas",Muy buena máquina de café por un precio excelente,Carlos M.,Revisado en España el 8 de mayo de 2021,"['buena', 'precio', 'excelente']"
Perfecto,"5,0 de 5 estrellas",Buena cafetera y buen cafe,Tino,Revisado en España el 9 de julio de 2021,"['buena', 'buen']"
Lavazza,"5,0 de 5 estrellas","4 años de uso y funciona perfecta, gran compra",pedro c.,Revisado en España el 4 de febrero de 2021,"['años', 'uso', 'funciona', 'perfecta', 'gran', 'compra']"
Precio - calidad,"5,0 de 5 estrellas",Tamaño perfecto y café buenísimo,zazu,Revisado en España el 3 de abril de 2020,"['tamaño', 'perfecto', 'buenísimo']"
Muy bien!,"5,0 de 5 estrellas","Pequeña, fácil de usar y súper cómoda!",susana,Revisado en España el 25 de diciembre de 2019,"['pequeña', 'fácil', 'usar', 'súper', 'cómoda']"
Mal estado,"1,0 de 5 estrellas","La acabo de recibir esta tarde, y no funciona, no coge agua.",Melina,Revisado en España el 12 de abril de 2021,"['acabo', 'recibir', 'tarde', 'funciona', 'coge']"
el precio,"5,0 de 5 estrellas","el articulo me ha gustado mucho, comprare mas unidades cuando salga la misma oferta.",Dani tole,Revisado en España el 4 de mayo de 2021,"['articulo', 'gustado', 'comprare', 'ma', 'unidades', 'salga', 'misma', 'oferta']"
Calidad,"5,0 de 5 estrellas",La máquina va perfecta y las cápsulas son excelentes,Francisco Contreras,Revisado en España el 8 de mayo de 2021,"['va', 'perfecta', 'cápsulas', 'excelentes']"
Pas solide,"1,0 de 5 estrellas",Pas solide,brugniel,Revisado en Francia el 3 de marzo de 2020,"['pa', 'solide']"
correct,"4,0 de 5 estrellas",correct,Client d'Amazon,Revisado en Francia el 16 de agosto de 2023,['correct']
"Un excelente producto para cafés, chocolates, infusiones","5,0 de 5 estrellas","Es genial esa cafetera, permite cambiar la cantidad en 3 medidas diferentes, se puede ajustar también el calor según si queremos menos caliente, caliente o muy caliente, y en el caso de café se puede elegir entre 3 intensidades.
La comodidad de ir con código de barras, metes la cápsula y te olvidas, todo automatizado.
Y para tus sabores favoritos, hasta puedes guardar preferencias de calor, intensidad o cantidad, de modo que siempre que reconoce un código, lo prepara según lo has guardado.
Únicos 'peros': la parte donde baja el café, es una pieza pequeña y puede resultar difícil de lavar, y según qué cápsula, salpica mucho (principalmente las de chocolate).
Quitando esos 2 puntos, un 10.",Yakuru,Revisado en España el 26 de febrero de 2020,"['genial', 'permite', 'cambiar', 'cantidad', 'medidas', 'diferentes', 'puede', 'ajustar', 'calor', 'según', 'queremos', 'menos', 'caliente', 'caliente', 'caliente', 'caso', 'puede', 'elegir', 'intensidades', 'comodidad', 'ir', 'código', 'barras', 'mete', 'cápsula', 'olvidas', 'automatizado', 'sabores', 'favoritos', 'puedes', 'guardar', 'preferencias', 'calor', 'intensidad', 'cantidad', 'modo', 'siempre', 'reconoce', 'código', 'prepara', 'según', 'guardado', 'únicos', 'parte', 'baja', 'pieza', 'pequeña', 'puede', 'resultar', 'difícil', 'lavar', 'según', 'cápsula', 'salpica', 'principalmente', 'chocolate', 'quitando', 'puntos']"
Buena cafetera,"5,0 de 5 estrellas","Es muy cómoda y limpia. Hace un café bastante bueno. Tiene varias opciones o funciones para elegir la intensidad del café.
Un único pero, no ser refiere al producto, más bien a lo que anuncian que en la caja lleva café y no es así. No esperéis que lleva ninguna cápsula de cortesía.",Cliente de Amazon,Revisado en España el 10 de marzo de 2020,"['cómoda', 'limpia', 'bastante', 'bueno', 'varias', 'opciones', 'funciones', 'elegir', 'intensidad', 'único', 'ser', 'refiere', 'producto', 'anuncian', 'caja', 'lleva', 'así', 'esperéis', 'lleva', 'ninguna', 'cápsula', 'cortesía']"
"Bien rematada, asombrosamente rápida calentando, casi instantanea, silenciosa, limpia.","4,0 de 5 estrellas","Aclaro que no soy partidario de los sistemas de cápsulas, de ninguno, pero en el local donde va a estar ubicada era la opción menos mala si quería disponer de bebidas calientes. Dicho esto indicar que voy a valorar la máquina que he comprado, ni el sistema de cápsulas, ni las bebidas, porque entiendo que en explicar las bondades del primero, ya se encargan los fabricantes con suficiente empeño.. y lo segundo es completamente subjetivo, asi que tampoco serviría de mucho.
Como ventajas indicar que es limpia, no gotea ni salpica si ubicamos la bandeja a la altura correcta y esperamos al final del ciclo para retirar la taza. Además, es la máquina mas silenciosa que he usado, mucho mas que otras de Dolce Gusto o Nespresso, que eran te sacaban el café con un auténtico concierto de bufidos, traqueteos y chasquidos. Los plásticos están bien rematados, pero las superficies negras brillantes son un atrapahuellas, y muy fáciles de rayar solo con pasarles un paño. (el control táctil, que necesariamente has de pulsar con el dedo, es plástico negro brillante ). Además, tiene la ventaja de que todas las partes que entran en contacto con la capsula, son desmontables y lavables en lavavajillas, aunque son plásticos, en caso de pérdida o rotura se pueden reemplazar facilmente, porque la propia marca los vende online. En otros sistemas, la aguja que perfora la capsula, y el mecanismo que la aprieta en su sitio forman parte de la cafetera y no se pueden desmontar para limpiarlos.
En la parte negativa, la máquina tiene una electrónica mas compleja y puñetera que otras que he probado. Te deja personalizar la intensidad, la cantidad de bebida y la temperatura, con cuatro memorias para guardar los ajustes. Además reconoce ella sola la bebida, y ajusta los parámetros automáticamente, incluso sabe si tiene agua suficiente en el tanque. Peeero.. cuando algo falla (en mi caso, se quedaba pegado el sensor del tanque de agua, e indicaba que no tenia agua, a pesar de tener el tanque lleno) hace lo que le da la gana, no importa que la desenchufes y la vuelvas a enchufar, que recoloques el tanque o lo que sea, se queda el error fijo, y se bloquea. Igualmente, si no reconoce la capsula, idem..
Además de esto, el manual es un auténtico chiste, un folletito tipo comic, con cada viñeta en varios idiomas, que no indica absolutamente nada, aún a dia de hoy, sin ir mas lejos, soy incapaz de saber con que presión trabaja la bomba. y que error indica cada parpadeo de las lucecitas.
Por lo demás, cumple todo lo que promete, es capaz de sacar las bebidas muy calientes casi instantaneamente (se enciende sola al abrir el compartimento de la cápsula, y en los segundos que tardas en colocarla,seleccionar intensidad, tamaño, etc, y cerrarla .. ya está a temperatura de funcionamiento), es muy fácil de limpiar, y muy silenciosa. Para ser perfecta, desde mi punto de vista le faltan un pequeño display que te indique que le duele.. cuando le duele algo.. y que determinadas partes, como la rejilla donde apoyas la taza, fueran de acero inox.. tanto plástico se me atraganta estéticamente.",Amancio Montes,Revisado en España el 20 de septiembre de 2018,"['aclaro', 'partidario', 'sistemas', 'cápsulas', 'ninguno', 'local', 'va', 'ubicada', 'opción', 'menos', 'mala', 'quería', 'disponer', 'bebidas', 'calientes', 'dicho', 'indicar', 'voy', 'valorar', 'comprado', 'sistema', 'cápsulas', 'bebidas', 'entiendo', 'explicar', 'bondades', 'primero', 'encargan', 'fabricantes', 'suficiente', 'empeño', 'segundo', 'completamente', 'subjetivo', 'asi', 'tampoco', 'serviría', 'ventajas', 'indicar', 'limpia', 'gotea', 'salpica', 'ubicamos', 'bandeja', 'altura', 'correcta', 'esperamos', 'final', 'ciclo', 'retirar', 'taza', 'además', 'ma', 'silenciosa', 'usado', 'ma', 'dolce', 'gusto', 'nespresso', 'sacaban', 'auténtico', 'concierto', 'bufidos', 'traqueteos', 'chasquidos', 'plásticos', 'rematados', 'superficies', 'negras', 'brillantes', 'atrapahuellas', 'fáciles', 'rayar', 'solo', 'pasarles', 'paño', 'control', 'táctil', 'necesariamente', 'pulsar', 'dedo', 'plástico', 'negro', 'brillante', 'además', 'ventaja', 'toda', 'partes', 'entran', 'contacto', 'capsula', 'desmontables', 'lavables', 'lavavajillas', 'aunque', 'plásticos', 'caso', 'pérdida', 'rotura', 'pueden', 'reemplazar', 'facilmente', 'propia', 'marca', 'vende', 'online', 'sistemas', 'aguja', 'perfora', 'capsula', 'mecanismo', 'aprieta', 'sitio', 'forman', 'parte', 'pueden', 'desmontar', 'limpiarlos', 'parte', 'negativa', 'electrónica', 'ma', 'compleja', 'puñetera', 'probado', 'deja', 'personalizar', 'intensidad', 'cantidad', 'bebida', 'temperatura', 'cuatro', 'memorias', 'guardar', 'ajustes', 'además', 'reconoce', 'sola', 'bebida', 'ajusta', 'parámetros', 'automáticamente', 'incluso', 'sabe', 'suficiente', 'tanque', 'peeero', 'falla', 'caso', 'quedaba', 'pegado', 'sensor', 'tanque', 'indicaba', 'tenia', 'pesar', 'tener', 'tanque', 'lleno', 'da', 'gana', 'importa', 'desenchufes', 'vuelvas', 'enchufar', 'recoloques', 'tanque', 'queda', 'error', 'fijo', 'bloquea', 'igualmente', 'reconoce', 'capsula', 'idem', 'además', 'manual', 'auténtico', 'chiste', 'folletito', 'tipo', 'comic', 'cada', 'viñeta', 'varios', 'idiomas', 'indica', 'absolutamente', 'aún', 'dia', 'hoy', 'ir', 'ma', 'lejos', 'incapaz', 'saber', 'presión', 'trabaja', 'bomba', 'error', 'indica', 'cada', 'parpadeo', 'lucecitas', 'demás', 'cumple', 'promete', 'capaz', 'sacar', 'bebidas', 'calientes', 'casi', 'instantaneamente', 'enciende', 'sola', 'abrir', 'compartimento', 'cápsula', 'segundos', 'tardas', 'colocarla', 'seleccionar', 'intensidad', 'tamaño', 'etc', 'cerrarla', 'temperatura', 'funcionamiento', 'fácil', 'limpiar', 'silenciosa', 'ser', 'perfecta', 'punto', 'vista', 'faltan', 'pequeño', 'display', 'indique', 'duele', 'duele', 'determinadas', 'partes', 'rejilla', 'apoyas', 'taza', 'acero', 'inox', 'plástico', 'atraganta', 'estéticamente']"
Calidad y precio,"5,0 de 5 estrellas","Me encanta , hace buen café , es ligera y compacta , el depósito de agua es grande , poder seleccionar tamaño ,temperatura e intensidad del café es una auténtica gozada . Realmente contenta con la compra",sonia maria,Revisado en España el 17 de febrero de 2019,"['encanta', 'buen', 'ligera', 'compacta', 'depósito', 'grande', 'poder', 'seleccionar', 'tamaño', 'temperatura', 'intensidad', 'auténtica', 'gozada', 'realmente', 'contenta', 'compra']"
Encantado con Tassimo,"5,0 de 5 estrellas","Tenía una cafetera DeLonghi para Nespresso que empezó a perder agua y funcionar mal, así que decidí sustituirla. En un primer momento iba a comprar la misma porque me dio buen resultado, pero pensé en cambiar a Tassimo por la variedad de sabores que tiene (Milka, Oreo y un largo etcétera), así que empecé a mirar modelos de máquinas compatibles.

Buscando me topé con esta máquina tras haber puesto el filtro de opiniones al máximo y, tras leer las opiniones positivas (alguna negativa había), decidí comprarla y no puedo estar más contento. En concreto, este modelo te permite seleccionar la temperatura y la intensidad del café, además de que su uso es tremendamente sencillo.

El paquete llegó el día indicado. Recomiendo su compra.",Javier Alonso,Revisado en España el 29 de enero de 2019,"['delonghi', 'nespresso', 'empezó', 'perder', 'funcionar', 'mal', 'así', 'decidí', 'sustituirla', 'primer', 'momento', 'iba', 'comprar', 'misma', 'dio', 'buen', 'resultado', 'pensé', 'cambiar', 'tassimo', 'variedad', 'sabores', 'milka', 'oreo', 'largo', 'etcétera', 'así', 'empecé', 'mirar', 'modelos', 'máquinas', 'compatibles', 'buscando', 'topé', 'tras', 'haber', 'puesto', 'filtro', 'opiniones', 'máximo', 'tras', 'leer', 'opiniones', 'positivas', 'alguna', 'negativa', 'decidí', 'comprarla', 'puedo', 'contento', 'concreto', 'modelo', 'permite', 'seleccionar', 'temperatura', 'intensidad', 'además', 'uso', 'tremendamente', 'sencillo', 'paquete', 'llegó', 'día', 'indicado', 'recomiendo', 'compra']"
Muy buena.,"5,0 de 5 estrellas","Funciona perfecta. Uso super fácil y mucho surtido de cafés donde elegir(marcas, tipos, sabores..). Le da 100 vueltas a las Dolce Gusto que tenía antes.",Juan Antonio Giner,Revisado en España el 7 de febrero de 2021,"['funciona', 'perfecta', 'uso', 'super', 'fácil', 'surtido', 'cafés', 'elegir', 'marcas', 'tipos', 'sabores', 'da', 'vueltas', 'dolce', 'gusto']"
"cambié mi nesspreso por esta, gravísimo error","1,0 de 5 estrellas","comparándola con la nesspreso que tenía, el café no está ni la mitad de bueno. La cantidad de café que sale, depende de muuuuuchos factores como son la marca del fabricante, el tipo de café. Se puede programar en cuanto a la cantidad y a la intensidad, pero apenas se nota. Lo único positivo, el café en el supercarmela es muy baratito.",Rafael j. Montero,Revisado en España el 11 de junio de 2019,"['comparándola', 'nesspreso', 'mitad', 'bueno', 'cantidad', 'sale', 'depende', 'muuuuuchos', 'factores', 'marca', 'fabricante', 'tipo', 'puede', 'programar', 'cuanto', 'cantidad', 'intensidad', 'apenas', 'nota', 'único', 'positivo', 'supercarmela', 'baratito']"
"Su sabor , calidez y fácil de limpiar.","5,0 de 5 estrellas","Estoy completamente satisfecho de mi atquisición , es fácil de usar cuando se estudia bien su funcionamiento , cosa fácil con las completas instrucciones que llegan junto con la cafetera . El café sale con sabor muy cálido . Llevaba muchos años con una marca muy conocida y la verdad es que Tassimo de Bosh , supera todas las espectativas .",Pam,Revisado en España el 28 de noviembre de 2020,"['completamente', 'satisfecho', 'atquisición', 'fácil', 'usar', 'estudia', 'funcionamiento', 'cosa', 'fácil', 'completas', 'instrucciones', 'llegan', 'junto', 'sale', 'sabor', 'cálido', 'llevaba', 'años', 'marca', 'conocida', 'verdad', 'tassimo', 'bosh', 'supera', 'toda', 'espectativas']"
