title,rating,body,author,date,TextBlob_sentiment,Pysentimiento_sentiment,BERT_sentiment
Aceptable,"4,0 de 5 estrellas","Hace un café bueno, lo malo el plástico del reposa tazas",Otto,Revisado en España el 1 de octubre de 2023,NEU,NEG,NEU
No es como la foto,"4,0 de 5 estrellas",La compré para mi hija hace ya un par de meses y se lo he dado por su cumpleaños hoy y no es como lo esperaba. No tiene la madera que se ve en las fotos.,Ali,Revisado en España el 26 de septiembre de 2023,NEU,NEG,NEG
nos gusta a todos,"4,0 de 5 estrellas","cuando la recibi me desilusiono tanto plastico, el color me encanto, pero funciona perfectamente y al cabo de los meses creo cada dia hace cafes con mas espuma nos gusta a toda la familia",M C.,Revisado en España el 25 de septiembre de 2023,NEU,POS,POS
Perfecto,"4,0 de 5 estrellas",Recomendable 100 x 100,Oscar,Revisado en España el 22 de septiembre de 2023,NEU,POS,POS
Bonito diseño,"4,0 de 5 estrellas","Esabamos indecisos de comprar la cafetera al ver algunas reseñas diciendo que no tenía buena calidad y el café salia con sabor a plástico, pero nada que ver, el diseño es muy bonito, si es verdad que no es de metal, pero está muy bien, el café tanto en monodosis como express tiene muy buen sabor, la volveriamos a comprar.",Fernando,Revisado en España el 12 de septiembre de 2023,NEU,POS,POS
Buena compra,"5,0 de 5 estrellas","Muy bonita de diseño, preciosa, hace un buen café. Más caras que otras del estilo pero con ese diseño tan bonito merece la pena. Buen café y puesta en la cocina queda espectacular",juan antonio,Revisado en España el 8 de septiembre de 2023,NEU,POS,POS
Hace buen café.,"4,0 de 5 estrellas","Es fácil se manejar y el café que hace está buenísimo. El diseño es espectacular, pero no le pongo las 5 estrellas porque se quedan las manchas d gotas de café en el frontal y ya no se quitan con nada. Con un vinilo color madera se arregla, pero estaría bien poder limpiarlo.",Rebeca Muñoz Curiel,Revisado en España el 7 de septiembre de 2023,NEU,POS,POS
De momento bien,"5,0 de 5 estrellas","Funciona bien, por el precio no se puede decir mucho. Lo que he notado es:

- Tarda un poquito en calentarse, sobre todo para el vapor, pero nada del otro mundo.
- El tubo de vapor es algo difícil de limpiar
- La calidad es estándar, decente para el bajo precio.
- Es como la foto, muy bonita.
- Hace café con buena crema.

Veremos cuánto dura y el servicio posventa.",Javi,Revisado en España el 5 de septiembre de 2023,NEU,POS,NEU
Muy buen café,"5,0 de 5 estrellas","Hace muy buen café, fantásticos expresos con su crema... y también funciona con cápsulas ESE, más baratas y ecológicas que las de Nespresso...",Cliente Amazon,Revisado en España el 5 de septiembre de 2023,NEU,POS,POS
Bonita,"5,0 de 5 estrellas","Envío rápido a portugal , entrega 📦 perfecta. El color súper bien y funciona excelente.",jhonny carrillo,Revisado en España el 3 de septiembre de 2023,NEU,POS,POS
Excelente,"5,0 de 5 estrellas",Fácil de utilizar y hace un café buenísimo,Natalia,Revisado en España el 27 de agosto de 2023,NEU,POS,POS
Muy útil,"4,0 de 5 estrellas",La cafetera es muy útil porque te permite hacer el expresso y las cápsulas. Es muy bonita pero los materieles no paracen muy buenos.,Buen producto,Revisado en España el 23 de agosto de 2023,NEU,POS,POS
Funciona y bonita.,"4,0 de 5 estrellas",El café sale bastante bien. Es pequeña y decorativa. Recomendada para los amantes del café. Relación calidad precio 100 % Estoy viciada al café.,Clairet Reyes,Revisado en España el 20 de agosto de 2023,NEU,POS,POS
No les gustó,"1,0 de 5 estrellas",No les gustó el color y además no parece de muy buena calidad... Una cafetera de juguete..,Javi A.,Revisado en España el 18 de agosto de 2023,NEU,NEG,NEG
"Maquina preciosa, servicio post venta malo","1,0 de 5 estrellas","La máquina era muy bonita, desgraciadamente la devolví porque perdía agua del depósito.
Servicio post venta, malisimo a 10 dias y aun no me han dado el reembolso, ni contestan.

Edito: reembolso conseguido 17 dias despues de la devolucion. Casualmente respondieron que hacían el reembolso mismo dia que puse reseña negativa. Casualidad? :/",Alex,Revisado en España el 11 de agosto de 2023,NEG,NEG,NEG
Mejor como vibrador que como cafetera.,"2,0 de 5 estrellas",Malas calidades. 100% plástico. Ruidosa a morir y si no la abrazas tiembla hasta el enchufe.,"Es bonita, eso es innegable, pero como cafetera es mala con ganas.100% plástico, vibra más que el escape de una Variant así que si no vigilas la taza es probable que termine en el suelo y si trabajas de mañana olvídate de desayunar a menos que no tengas vecinos en 3 km a la redonda pq suena como una zona de obras un Lunes a las 10 de la mañana. Los filtros filtran, pero tampoco demasiado, cada vez que los vacies encontrarás agua dentro. El vaporizador es básicamente de chiste y consume casi la mitad del depósito para 1 café. Pero bonita? Bonita es un ratp",Revisado en España el 10 de agosto de 2023,NEU,NEG,NEG
"Cumple su funcion, funciona bien","4,0 de 5 estrellas","Las instrucciones son bastante limitadas, en ningun sitio habla de como usat las capsulas ESE",Xavi,Revisado en España el 31 de julio de 2023,NEU,NEG,NEG
Buen café,"5,0 de 5 estrellas",Hace un café muy rico y con espuma,LAURA,Revisado en España el 31 de julio de 2023,NEU,POS,POS
A los 2 meses dejo de ir bien el vaporizador de leche y Amazon no responde a la garantia,"1,0 de 5 estrellas",A los 2 meses dejo de ir bien el vaporizador de leche y Amazon no responde a la garantia,Norman,Revisado en España el 29 de julio de 2023,NEU,NEG,NEG
En uso,"5,0 de 5 estrellas",Uso la máquina más de dos años. Funciona perfecto,Velin Shibilev,Revisado en España el 27 de julio de 2023,NEU,POS,POS
Me encanta 💖,"5,0 de 5 estrellas",Me gusta su color Me trasmite paz y cumple su función,Erika Rodríguez Salvador,Revisado en España el 27 de julio de 2023,NEU,POS,POS
Preciosa estética y magnífico café.,"5,0 de 5 estrellas","Es como tener una cafetería en casa, con un filtro para dos tazas y otro para una. Se saca mucho rendimiento de los botes de café de gran calidad en el mercado. Sin embargo, para que las monodosis ese salgan bien, hay que rasgar el papel y verter el contenido en el filtro pequeño de café.",Cliente Amazon,Revisado en España el 19 de julio de 2023,NEU,POS,NEU
Diseño - Espuma,"5,0 de 5 estrellas","El producto a parte de bonito, es práctico.
No sabe para nada a plástico ni siquiera el primer café que es el del vídeo. Tenía miedo de adquirirla por algún comentario hablando del sabor a plástico.
Hice la limpieza tal cual las instrucciones y a parte, lavé el depósito de agua con jabón y lo enjuagué muy bien.
Me gusta poder utilizarlo con café molido y con cápsulas.
Muy contenta con la compra.
No sé cómo irá la opción de calentar la leche o hacer capuchino.",Curea Mili Mihaita,Revisado en España el 17 de julio de 2023,NEU,POS,POS
Buen café,"5,0 de 5 estrellas",Me la compré porque me la recomendó una amiga. Leí las reseñas y algunas mencionaban algo sobre un sabor a plástico. La verdad es que si se limpia tal y como indican las instrucciones no hay ningún problema ni sabor raro. La recomiendo,Cliente Amazon,Revisado en España el 9 de julio de 2023,NEU,POS,POS
Muy bonita,"5,0 de 5 estrellas","La cafetera esta muy bien, tiene una estética muy bonita aunque muchos acabados son de plástico. Tampoco podemos pedir mucho ya que una cafetera vintage a este precio está muy bien. Al espumador no le he cogido el punto todavía pero poco a poco 🤣",Lena Gnz,Revisado en España el 12 de junio de 2023,NEU,POS,POS
Buen café,"4,0 de 5 estrellas","Café con espuma y funciona genial, es la segunda que tengo. No le doy 5⭐ porque en ese color la base queda teñida por el café. (Aunque no se ve siempre porque está encima la rejilla.",cristina Baigorri,Revisado en España el 6 de junio de 2023,NEG,POS,POS
Estoy viciada a lo bueno que sale el café,"4,0 de 5 estrellas","Tardé MUCHO en decidirme porque me daba mucho miedo tantas reseñas diciendo que el café sabía a plástico. Decidí arriesgarme y menos mal, porque no es para nada verdad. Seguí los pasos que pone en las instrucciones para lavarla antes de hacer el primer café y desde el primerísimo café que sale buenísimo no, lo siguiente. Todos mis invitados me dicen que es una pasada.
Eso sí, le he puesto 4 estrellas porque el espacio para la taza es pequeñísimo. Estuve a punto de devolverla porque no me cabe mi taza del café con leche, pero al final he optado por quitar la base cuando me hago el café. La espumadera para la leche no la he utilizado porque le doy a la leche un golpe de micro y el café ya sale con mucha espuma (si no te gusta el café con espuma no la cojas).
Otro punto un poco malo es que me hubiera gustado que fuera un pelín más robusta, cuesta quitar el brazo del café porque te llevas contigo toda la máquina.
Lo que adoro es que el depósito de agua es muy grande y no has de estar constantemente rellenándolo. Para el café vienen dos medidas, la pequeña nunca la he utilizado. Para mi café con leche de la mañana utilizo el tamaño grande con dos salidas. Alguna tarde que he tenido invitados he hecho dos cafés con leche a la vez con esa medida grande, pero quedan flojos. Si eres muy de café, necesitarás siempre la doble para un solo café.
En resumen, con un buen café; la calidad del café es de 10, la máquina preciosa. Lo malo: pesa poquísimo y por lo tanto cuesta quitar el brazo del café y sobretodo, que no cabe la taza :(.
Aún y así, la recomiendo mucho.",Cliente Amazon,Revisado en España el 4 de junio de 2023,NEG,NEG,POS
A los 3 meses se ha roto,"1,0 de 5 estrellas",Roto a los 3 meses el calentador,Veravera8,Revisado en España el 26 de abril de 2023,NEU,NEG,NEG
Muy buena compra,"5,0 de 5 estrellas","Era una regalo para mi pareja, y le ha encantado muy buena calidad, nos costó cogerle el truco pero después de un par de usos todo perfecto, el sabor de café en nuestro caso fue muy bueno desde el minuto uno, lo único malo que tarda mucho en calentarse pero por lo demás todo bien",Laura,Revisado en España el 16 de abril de 2023,NEU,POS,POS
"Gran diseño, café regular","3,0 de 5 estrellas","El diseño de la cafetera es muy retro, tal y como esperaba. Hace cafés más o menos correctos, pero si quieres un café largo el sabor es muy malo, con gusto a metal. Pensábamos que sería al principio de su uso hasta que pasaran unos días, pero llevamos ya más de dos semanas y sigue saliendo con este sabor.",Yemima,Revisado en España el 14 de abril de 2023,NEU,NEG,NEU
Buena cafetera pésimas instrucciones,"4,0 de 5 estrellas","Llegó con el depósito del agua roto, me puse en contacto con el vendedor y me enviaron otro deposito.
La quiero para usar con capsulas ESE y me ha gustado mucho y la maquina es muy bonita, lo malo como suele ser habitual las instrucciones son un desastre, según el croquis el deposito del agua está en la rueda de control del vapor y así un montón de detalles, pone como purgar el circuito del agua, pero muy mal explicado porque solo habla del vapor y pone que se inyecte una vez con el útil que viene y si es necesario repetir hasta que salga agua por el conducto del vapor y así fue, pero por el de salida para el café ni gota y al cabo de 2 minutos me asusté y la paré, seguí inyectado mas agua mientras la bomba funcionaba en seco hasta que le llegó por fin el agua y se puso a fluir después de numerosas inyecciones de agua hasta que se llenara el depósito interno donde debe estar la resistencia sumergida en tal deposito interno. ¿tan difícil es explicar de alguna forma esto? en lugar de hablar solo del vapor que enseguida empezó a salir, pero no el lado del café por lo que estuve a punto de devolverla.",Pedro Maria Alonso Villaro,Revisado en España el 31 de marzo de 2023,NEU,NEG,NEG
Poco fiable,"1,0 de 5 estrellas",La cafetera ha dejado de funcionar correctamente tras 14 meses con muy poco uso. El led verde ya no se enciende y pierde presión por la salida del agua a la cazoleta.,David,Revisado en España el 21 de marzo de 2023,NEU,NEG,NEG
"Además de bonita, hace un café genial!!!","5,0 de 5 estrellas","Fácil de usar, práctica para limpiar y un diseño muy bonito",Rosa,Revisado en España el 15 de marzo de 2023,NEU,POS,POS
Ok,"5,0 de 5 estrellas","Calienta muy rápido, echa buen café y hace mucha espuma la espumadera. Un 8 sobre 10",Cliente Amazon,Revisado en España el 12 de marzo de 2023,NEU,POS,POS
BUEN CAFÉ,"5,0 de 5 estrellas","Primer café que tomo y muy bueno. Lo importante es el café, por supuesto pero no puede pasar desapercibida lo bonita que es 😊",Yolanda.C,Revisado en España el 11 de marzo de 2023,NEU,POS,POS
BUENA RELACION CALIDAD PRECIO,"4,0 de 5 estrellas","Hace muy bien el café, comprando un buen producto y moliendolo correctamente. Es muy decorativa además y de tamaño ideal. Pongo 4 estrellas en el uso, porque viene con un defecto en el botón de hacer el café y apagar, se queda trabado al presionar y hay que apretar dos veces. Espero que me lo resuelvan. Por lo demás y dando por hecho la solución al problema, vendedor y cafetera muy recomendable, 8 o 10 cafés al dia, se lo dice quien la conoce y usa por años y ha sido vendedor profesional de café y cafeteras industriales mas de 20 años.",peluso,Revisado en España el 4 de marzo de 2023,POS,POS,POS
Sabe a plástico,"1,0 de 5 estrellas","Tras hacerle varias limpiezas tal y como indica el manual, sigue teniendo un fuerte saber a plástico el café, incluso huele a plástico",LORENZO C.,Revisado en España el 25 de febrero de 2023,NEU,NEG,NEU
Bien,"4,0 de 5 estrellas","El café muy bueno, lo de calentar la leche regular",MJ,Revisado en España el 21 de febrero de 2023,NEU,POS,POS
Devolución por no funcionamiento,"1,0 de 5 estrellas","Tuve que devolverlo por que no conseguí que funcionase.
La devolución sin problema y rápida.",Mercedes Andreu,Revisado en España el 16 de febrero de 2023,NEU,NEG,NEG
Hace un cafe de cafeteria,"5,0 de 5 estrellas","Me encanta tanto el diseño que es mut original como el cafe que hace. Hace una crema buenisima, supongo tambien que has de utilitzar un buen cafe",Susana,Revisado en España el 13 de febrero de 2023,POS,POS,POS
muito bom,"5,0 de 5 estrellas",Tal como descrito.,Carla,Revisado en España el 13 de febrero de 2023,NEU,NEU,POS
Hace Cafes muy bien pero los interruptores se estropean a los 4 meses de un uso medi,"1,0 de 5 estrellas",Una lastima. Iba muy bien hasta que después de 4 meses empezaron a fallar los interruptores haciendo uno o dos cafés al día. Por lo que veo después de desmontarlos se han quemado.,Yo_Mismo,Revisado en España el 9 de febrero de 2023,NEU,NEG,NEG
Cafetera,"5,0 de 5 estrellas",Fue para un regalo y está encantada y muy contenta,Rayo de sol,Revisado en España el 8 de febrero de 2023,NEU,POS,POS
No vale la pena,"2,0 de 5 estrellas","A los pocos meses el botón de encendido ya no funcionaba y ahora a los dos años de uso (1-2 cafés al día) el motor se ha quemado, asi que aunque el diseño es precioso no la recomendaría",Neus,Revisado en España el 23 de enero de 2023,NEU,NEG,NEG
Muy básica pero muy bonita,"5,0 de 5 estrellas",Básica y fácil de usar . Muy simple,Silvina Marcela Mendez,Revisado en España el 21 de enero de 2023,NEU,POS,POS
Es preciosa,"5,0 de 5 estrellas",El café riquísimo y hace una espuma increíble,Maria,Revisado en España el 21 de enero de 2023,NEU,POS,POS
Sale muy bien el café,"5,0 de 5 estrellas",Muy fácil de usar y limpiar sale buen café,Isabel zapater muñoz,Revisado en España el 16 de enero de 2023,NEU,POS,POS
Calienta rápido,"5,0 de 5 estrellas","Me ha gustado el diseño y los 2 modos de hacer café. Loque no me ha gustado, las patas no son tipo ventosa.",Pablo Valero Trives,Revisado en España el 15 de enero de 2023,NEU,NEU,NEU
GRAN MÁQUINA DE CAFÉ EN SU RANGO DE PRECIO,"4,0 de 5 estrellas","Muy contento con la compra, café rico y sin tener un precio desorbitado",Cliente Amazon,Revisado en España el 15 de enero de 2023,NEU,POS,POS
Contento,"5,0 de 5 estrellas","Fácil de limpiar
Buen café
Poco ruido y
Calienta rapido",guti,Revisado en España el 15 de enero de 2023,NEU,POS,POS
Llegó rota,"1,0 de 5 estrellas","Llegó rota, perdía agua del depósito todo el tiempo y solo hizo bien los cafés el primer día, después no cogía la temperatura y el marcador de temperatura se marcaba a la mitad. Un desastre, fue un regalo y no admite cambio por otra porque es un vendedor externo, así que la devuelvo y por lo menos recupero el dinero :(",Lydia,Revisado en España el 11 de enero de 2023,NEG,NEG,NEG
No es automática pero hace buen cafe,"4,0 de 5 estrellas","Fácil de limpiar, muy bonita y hace buen café. El problema es que no es automatica y tienes que estar pendiente de pararla cuando haces café. El calentador de agua a presión para la espuma de la leche funciona super bien. En general estoy satisfecha pero me falla que no es automática",Vanessa c.,Revisado en España el 5 de enero de 2023,POS,POS,NEU
Mango duro al principio,"4,0 de 5 estrellas","Hace un café espumosito. 2° día de uso. Decir que el mango venía muy recio y me resultó muy difícil encajarlo, pero forzando ya va. Recomiendo al vendedor, que el fabricante pruebe cada máquina antes de sacarla al mercado. Respecto a las manchas que leí en algún comentario, limpiarla con un paño húmedo y queda perfecta. Me la compré en rosa.",Carmen González,Revisado en España el 31 de diciembre de 2022,NEU,NEU,POS
Un quiero y no puedo,"4,0 de 5 estrellas",Realmente el producto en si funciona bien pero no acaba de llegar a la expectativa. Estéticamente es bonito pero los acabados se ven muy de plástico y de mal calidad. El uso tiene sus fallos ya que tarda bastante en coger temperatura. No hace mal cafe pero no la volvería a comprar por ese precio se pueden encontrar mejores cafeteras,Ro,Revisado en España el 17 de abril de 2024,NEU,NEG,NEU
Buena Relación Precio/Calidad,"5,0 de 5 estrellas","Qué Pasada!!

la Compramos para Reyes cansados de dejarnos el sueldo en comprar cápsulas y con ganas de disfrutar de un buen café. La maquina llegó en tan sólo 2 días. Venía en su caja de Ikhos dentro de una caja de Amazon todo super bien cuidado al detalle para que no sufriera ningún daño.

Dentro de la máquina se incluye el brazo para el café con dos filtros (para hacer 1 o 2 cafés).

En cuanto al funcionamiento, es una máquina muy intuitiva aunque, como bien explican las instrucciones, es necesario realizar una buena limpieza previa para tener un buen café a posterior. la máquina permite hacer los cafés (en el cantidad que desees), calentar y/o espumar leche y sacar agua caliente para los té.
El café n está nada mal, a mi al principio me costó cogerle el truco porque me salía súper espumoso pero una vez vi el problema, ahora sale un café con consistencia, textura y aroma intenso.Lógicamente, para que esto salga bien, también es necesario comprar un buen café (la máquina no hace milagros).

En cuanto al ruido, tema que me preocupaba mucho, es muy similar al ruido que te puede hacer una cafetera de cápsulas así que, con cerrar la puerta de la estancia, es suficiente para no molestar al resto de habitantes de la casa.

Ahora bien, también doy dos ""contras"":
1. No cabe una taza normal así que, para hacer un café con leche es necesario que quites la bandeja goteo para poner la taza.
2. La máquina es de plástico cosa que dificulta bastante limpiar el café que luego gotea. Así pues, si salpica una gota y no la limpias al momento, te quedará marcada de por vida.",LHO,Revisado en España el 26 de febrero de 2021,POS,POS,POS
